--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
153.859  000.006  000.006: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
156.180  000.150  000.150: require('nlua.include_expr')
156.182  001.605  001.456: require('nlua')
156.185  001.619  000.013: sourcing /Users/phaedrus/.local/share/nvim/lazy/nlua.nvim/plugin/nlua.vim
160.068  001.209  001.209: require('hop')
160.228  000.079  000.079: require('hop.perm')
160.308  000.077  000.077: require('hop.window')
160.380  000.310  000.154: require('hop.hint')
160.475  002.999  001.480: sourcing /Users/phaedrus/.local/share/nvim/lazy/hop.nvim/plugin/hop.lua
160.823  000.105  000.105: require('hop.defaults')
160.937  000.112  000.112: require('hop.highlight')
161.146  000.132  000.132: require('hop-yank')
161.266  000.090  000.090: require('hop-treesitter')
162.571  000.789  000.789: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/editorconfig.lua
162.703  000.081  000.081: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/gzip.vim
162.973  000.212  000.212: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/man.lua
163.747  000.126  000.126: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
163.760  000.744  000.618: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/matchit.vim
164.038  000.219  000.219: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/matchparen.vim
164.286  000.205  000.205: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/netrwPlugin.vim
164.491  000.161  000.161: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/osc52.lua
164.690  000.137  000.137: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/rplugin.vim
164.787  000.035  000.035: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/shada.vim
164.867  000.011  000.011: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/spellfile.vim
164.993  000.059  000.059: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/tarPlugin.vim
165.296  000.231  000.231: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/tohtml.lua
165.534  000.010  000.010: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/tutor.vim
165.756  000.065  000.065: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/zipPlugin.vim
167.936  000.405  000.405: require('cmp_nvim_lua')
168.101  001.288  000.883: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-nvim-lua/after/plugin/cmp_nvim_lua.lua
168.643  000.152  000.152: require('cmp_nvim_lsp.source')
168.645  000.278  000.125: require('cmp_nvim_lsp')
168.652  000.348  000.071: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
169.066  000.192  000.192: require('cmp_cmdline')
169.137  000.405  000.212: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-cmdline/after/plugin/cmp_cmdline.lua
169.495  000.073  000.073: require('cmp_path')
169.528  000.241  000.168: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-path/after/plugin/cmp_path.lua
169.902  000.052  000.052: require('cmp_buffer.timer')
169.904  000.115  000.063: require('cmp_buffer.buffer')
169.906  000.173  000.057: require('cmp_buffer.source')
169.907  000.229  000.057: require('cmp_buffer')
169.917  000.268  000.039: sourcing /Users/phaedrus/.local/share/nvim/lazy/cmp-buffer/after/plugin/cmp_buffer.lua
170.071  157.584  041.638: require('user.lazy')
170.891  000.819  000.819: require('user.options')
171.629  000.737  000.737: require('user.keymappings')
174.691  000.068  000.068: require('rose-pine.config')
174.693  000.465  000.397: require('rose-pine')
175.299  000.087  000.087: require('rose-pine.utilities')
175.374  000.074  000.074: require('rose-pine.palette')
176.484  002.521  001.895: sourcing /Users/phaedrus/.local/share/nvim/lazy/rose-pine/colors/rose-pine.lua
178.186  000.337  000.337: require('rainbow.internal')
178.484  006.853  003.996: require('user.colorscheme')
179.110  000.056  000.056: require('lspconfig.async')
179.112  000.122  000.066: require('lspconfig.configs')
179.115  000.405  000.282: require('lspconfig')
179.250  000.079  000.079: require('mason-core.path')
179.438  000.123  000.123: require('mason-core.functional')
179.552  000.052  000.052: require('mason-core.functional.data')
179.555  000.111  000.059: require('mason-core.functional.function')
179.614  000.052  000.052: require('mason-core.functional.relation')
179.674  000.057  000.057: require('mason-core.functional.logic')
179.950  000.698  000.355: require('mason-core.platform')
180.015  000.064  000.064: require('mason.settings')
180.016  000.899  000.058: require('mason')
180.155  000.059  000.059: require('mason-core.functional.list')
180.210  000.053  000.053: require('mason-core.functional.string')
180.224  000.198  000.086: require('mason.api.command')
180.283  000.057  000.057: require('mason-registry.sources')
180.441  000.067  000.067: require('mason-core.log')
180.494  000.052  000.052: require('mason-lspconfig.settings')
180.496  000.207  000.087: require('mason-lspconfig')
181.568  000.055  000.055: require('mason-lspconfig.notify')
181.570  000.715  000.659: require('mason-lspconfig.lspconfig_hook')
181.703  000.056  000.056: require('mason-core.functional.table')
181.749  000.178  000.122: require('mason-lspconfig.mappings.server')
181.866  000.056  000.056: require('mason-core.EventEmitter')
181.932  000.065  000.065: require('mason-core.optional')
182.086  000.090  000.090: require('mason-core.async')
182.145  000.057  000.057: require('mason-core.async.uv')
182.148  000.215  000.068: require('mason-core.fs')
182.158  000.407  000.072: require('mason-registry')
182.215  000.055  000.055: require('mason-lspconfig.server_config_extensions')
182.388  000.172  000.172: require('lspconfig.configs.omnisharp')
183.803  000.058  000.058: require('mason-core.functional.number')
183.814  000.157  000.098: require('mason-lspconfig.api.command')
184.047  000.232  000.232: require('user.lsp.handlers')
184.674  000.355  000.355: require('lspconfig.configs.rust_analyzer')
188.246  000.249  000.249: require('lspconfig.manager')
188.316  000.065  000.065: require('lspconfig.configs.bashls')
192.025  000.261  000.261: require('user.lsp.settings.lua_ls')
192.258  000.172  000.172: require('lspconfig.configs.lua_ls')
194.645  000.194  000.194: require('lspconfig.configs.pyright')
196.236  000.395  000.395: require('user.lsp.settings.ts_ls')
196.700  000.236  000.236: require('lspconfig.configs.ts_ls')
198.163  000.060  000.060: require('lspconfig.configs.gopls')
200.785  000.111  000.111: require('null-ls.utils')
201.070  000.283  000.283: require('vim.diagnostic')
201.468  000.858  000.464: require('null-ls.config')
202.018  000.072  000.072: require('null-ls.helpers.cache')
202.754  000.735  000.735: require('null-ls.helpers.diagnostics')
202.917  000.162  000.162: require('null-ls.helpers.formatter_factory')
203.133  000.061  000.061: require('null-ls.logger')
203.376  000.242  000.242: require('null-ls.state')
203.378  000.460  000.158: require('null-ls.helpers.generator_factory')
203.502  000.057  000.057: require('null-ls.helpers.command_resolver')
203.503  000.124  000.067: require('null-ls.helpers.make_builtin')
203.581  000.077  000.077: require('null-ls.helpers.range_formatting_args_factory')
203.582  002.113  000.484: require('null-ls.helpers')
204.086  000.203  000.203: require('null-ls.methods')
204.088  000.268  000.065: require('null-ls.diagnostics')
204.093  000.509  000.242: require('null-ls.sources')
204.176  000.082  000.082: require('null-ls.builtins')
204.177  003.647  000.085: require('null-ls')
204.797  000.618  000.618: require('null-ls.builtins.formatting.prettier')
204.882  000.083  000.083: require('null-ls.builtins.formatting.stylua')
205.375  000.492  000.492: require('null-ls.builtins.formatting.rustfmt')
208.113  000.820  000.820: require('null-ls.client')
208.127  007.886  002.226: require('user.lsp.null-ls')
210.153  031.668  018.115: require('user.lsp')
210.570  000.415  000.415: require('user.markdown')
210.666  000.095  000.095: require('user.autocmds')
211.518  000.096  000.096: require('typescript-tools.config')
211.648  000.129  000.129: require('typescript-tools.protocol.constants')
212.026  000.092  000.092: require('plenary.bit')
212.102  000.074  000.074: require('plenary.functional')
212.166  000.344  000.178: require('plenary.path')
212.334  000.082  000.082: require('plenary.compat')
212.342  000.175  000.094: require('plenary.job')
212.351  000.612  000.092: require('typescript-tools.tsserver_provider')
212.433  000.081  000.081: require('typescript-tools.process')
212.500  000.066  000.066: require('typescript-tools.request_queue')
212.560  000.058  000.058: require('typescript-tools.protocol.progress')
212.689  000.064  000.064: require('typescript-tools.utils')
212.755  000.194  000.130: require('typescript-tools.protocol.module_mapper')
212.816  000.060  000.060: require('typescript-tools.protocol.pending_diagnostic')
213.221  000.058  000.058: require('plenary.tbl')
213.224  000.134  000.076: require('plenary.vararg.rotate')
213.225  000.195  000.060: require('plenary.vararg')
213.284  000.059  000.059: require('plenary.errors')
213.287  000.319  000.065: require('plenary.async.async')
213.554  000.075  000.075: require('plenary.async.structs')
213.559  000.149  000.075: require('plenary.async.control')
213.563  000.215  000.066: require('plenary.async.util')
213.565  000.277  000.062: require('plenary.async.tests')
213.566  000.671  000.076: require('plenary.async')
213.704  000.137  000.137: require('plenary.async.uv_async')
213.863  000.087  000.087: require('vim.ui')
213.887  000.182  000.094: require('typescript-tools.async')
213.896  001.079  000.090: require('typescript-tools.api')
213.980  000.083  000.083: require('typescript-tools.protocol.utils')
213.983  002.334  000.100: require('typescript-tools.tsserver')
214.173  000.060  000.060: require('typescript-tools.autocommands.common')
214.177  000.131  000.071: require('typescript-tools.autocommands.diagnostics')
214.246  000.067  000.067: require('typescript-tools.autocommands.code_lens')
214.703  000.456  000.456: require('typescript-tools.autocommands.jsx_close_tag')
214.705  000.722  000.067: require('typescript-tools.autocommands')
214.784  000.078  000.078: require('typescript-tools.custom_handlers')
214.845  000.060  000.060: require('typescript-tools.request_router')
214.978  000.065  000.065: require('typescript-tools.integrations')
215.055  000.210  000.145: require('typescript-tools.internal_commands')
215.057  003.727  000.100: require('typescript-tools.rpc')
215.059  004.269  000.542: require('typescript-tools')
220.940  004.630  004.630: require('user.supermaven')
220.942  208.944  001.874: sourcing /Users/phaedrus/.config/nvim/init.lua
220.955  001.039: sourcing vimrc file(s)
222.197  000.864  000.864: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/filetype.lua
222.626  000.055  000.055: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/syntax/synload.vim
