--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
097.195  000.113  000.064: require('cmp.utils.keymap')
097.196  000.378  000.265: require('cmp.utils.feedkeys')
097.394  000.085  000.085: require('cmp.config.mapping')
097.444  000.049  000.049: require('cmp.utils.cache')
097.556  000.056  000.056: require('cmp.config.compare')
097.557  000.111  000.056: require('cmp.config.default')
097.590  000.335  000.090: require('cmp.config')
097.596  000.399  000.064: require('cmp.utils.async')
097.704  000.049  000.049: require('cmp.utils.pattern')
097.706  000.109  000.060: require('cmp.context')
097.961  000.128  000.128: require('cmp.utils.snippet')
098.015  000.052  000.052: require('cmp.matcher')
098.019  000.248  000.069: require('cmp.entry')
098.022  000.316  000.067: require('cmp.source')
098.127  000.049  000.049: require('cmp.utils.event')
098.285  000.051  000.051: require('cmp.utils.options')
098.288  000.108  000.057: require('cmp.utils.window')
098.289  000.161  000.053: require('cmp.view.docs_view')
098.352  000.063  000.063: require('cmp.view.custom_entries_view')
098.412  000.058  000.058: require('cmp.view.wildmenu_entries_view')
098.469  000.056  000.056: require('cmp.view.native_entries_view')
098.607  000.137  000.137: require('cmp.view.ghost_text_view')
098.612  000.588  000.063: require('cmp.view')
100.654  004.098  002.141: require('cmp.core')
101.682  000.861  000.861: require('cmp.config.sources')
101.737  000.054  000.054: require('cmp.config.window')
101.776  005.899  000.885: require('cmp')
101.833  000.056  000.056: require('supermaven-nvim.cmp')
101.975  000.060  000.060: require('vim.version')
103.442  000.081  000.081: require('vim.iter')
107.356  000.302  000.302: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-sleuth/plugin/sleuth.vim
107.759  000.017  000.017: sourcing /Users/phaedrus/.local/share/nvim/lazy/nightfox.nvim/plugin/nightfox.vim
108.644  000.446  000.446: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-eunuch/plugin/eunuch.vim
109.645  000.019  000.019: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-web-devicons/plugin/nvim-web-devicons.vim
113.843  002.062  002.062: require('hop')
114.079  000.067  000.067: require('hop.perm')
114.151  000.071  000.071: require('hop.window')
114.154  000.309  000.171: require('hop.hint')
114.200  003.932  001.561: sourcing /Users/phaedrus/.local/share/nvim/lazy/hop.nvim/plugin/hop.lua
114.420  000.072  000.072: require('hop.defaults')
114.495  000.074  000.074: require('hop.highlight')
114.672  000.106  000.106: require('hop-yank')
114.758  000.064  000.064: require('hop-treesitter')
116.065  000.890  000.890: require('rainbow')
116.621  001.454  000.564: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-ts-rainbow/plugin/rainbow.vim
116.950  000.046  000.046: sourcing /Users/phaedrus/.local/share/nvim/lazy/github-nvim-theme/plugin/github_theme.lua
117.680  000.237  000.237: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-surround/plugin/surround.vim
119.091  000.081  000.081: require('Comment.config')
119.312  000.141  000.141: require('Comment.ft')
119.318  000.225  000.085: require('Comment.utils')
119.394  000.075  000.075: require('Comment.opfunc')
119.471  000.076  000.076: require('Comment.extra')
119.476  001.024  000.567: require('Comment.api')
119.755  001.342  000.318: sourcing /Users/phaedrus/.local/share/nvim/lazy/Comment.nvim/plugin/Comment.lua
120.576  000.706  000.706: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-fugitive/plugin/fugitive.vim
120.766  000.006  000.006: sourcing /Users/phaedrus/.local/share/nvim/lazy/vim-fugitive/ftdetect/fugitive.vim
121.803  000.161  000.161: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-ts-context-commentstring/plugin/ts_context_commentstring.lua
123.522  000.016  000.016: sourcing /Users/phaedrus/.local/share/nvim/lazy/nvim-colorizer.lua/plugin/colorizer.vim
125.050  000.708  000.708: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/editorconfig.lua
125.169  000.080  000.080: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/gzip.vim
125.273  000.068  000.068: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/plugin/man.lua
126.251  000.119  000.119: sourcing /usr/local/Cellar/neovim/0.10.4_1/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
